application_id,submitted_time,reviewed_time,approved_time,rejected_time,processing_steps,flagged_for_fraud
APP-0001,2025-06-01T09:00:00,2025-06-01T09:56:00,,2025-06-01T10:23:00,"{'KYC': 86, 'CreditCheck': 21, 'FinalApproval': 27}",False
APP-0002,2025-06-02T09:00:00,2025-06-02T09:59:00,,2025-06-02T10:38:00,"{'KYC': 49, 'CreditCheck': 32, 'FinalApproval': 10}",False
APP-0003,2025-06-03T09:00:00,2025-06-03T09:53:00,2025-06-03T10:43:00,,"{'KYC': 28, 'CreditCheck': 13, 'FinalApproval': 75}",False
APP-0004,2025-06-04T09:00:00,2025-06-04T09:38:00,,2025-06-04T10:13:00,"{'KYC': 73, 'CreditCheck': 63, 'FinalApproval': 21}",False
APP-0005,2025-06-05T09:00:00,2025-06-05T09:20:00,2025-06-05T09:48:00,,"{'KYC': 24, 'CreditCheck': 46, 'FinalApproval': 84}",False
APP-0006,2025-06-06T09:00:00,2025-06-06T09:23:00,,2025-06-06T09:49:00,"{'KYC': 32, 'CreditCheck': 18, 'FinalApproval': 33}",True
APP-0007,2025-06-07T09:00:00,2025-06-07T09:36:00,2025-06-07T10:27:00,,"{'KYC': 17, 'CreditCheck': 64, 'FinalApproval': 57}",False
APP-0008,2025-06-08T09:00:00,2025-06-08T09:52:00,,2025-06-08T10:37:00,"{'KYC': 33, 'CreditCheck': 67, 'FinalApproval': 66}",False
APP-0009,2025-06-09T09:00:00,2025-06-09T09:31:00,,2025-06-09T10:02:00,"{'KYC': 17, 'CreditCheck': 35, 'FinalApproval': 58}",True
APP-0010,2025-06-10T09:00:00,2025-06-10T09:58:00,,2025-06-10T10:28:00,"{'KYC': 15, 'CreditCheck': 21, 'FinalApproval': 62}",False
APP-0011,2025-06-11T09:00:00,2025-06-11T09:42:00,2025-06-11T10:04:00,,"{'KYC': 10, 'CreditCheck': 71, 'FinalApproval': 45}",True
APP-0012,2025-06-12T09:00:00,2025-06-12T09:16:00,2025-06-12T09:39:00,,"{'KYC': 78, 'CreditCheck': 48, 'FinalApproval': 49}",False
APP-0013,2025-06-13T09:00:00,2025-06-13T09:33:00,2025-06-13T10:04:00,,"{'KYC': 12, 'CreditCheck': 15, 'FinalApproval': 37}",False
APP-0014,2025-06-14T09:00:00,2025-06-14T09:58:00,,2025-06-14T10:57:00,"{'KYC': 79, 'CreditCheck': 11, 'FinalApproval': 81}",False
APP-0015,2025-06-15T09:00:00,2025-06-15T09:46:00,2025-06-15T10:27:00,,"{'KYC': 55, 'CreditCheck': 19, 'FinalApproval': 39}",False
APP-0016,2025-06-16T09:00:00,2025-06-16T09:48:00,,2025-06-16T10:08:00,"{'KYC': 65, 'CreditCheck': 43, 'FinalApproval': 37}",False
APP-0017,2025-06-17T09:00:00,2025-06-17T09:24:00,2025-06-17T10:06:00,,"{'KYC': 71, 'CreditCheck': 44, 'FinalApproval': 50}",False
APP-0018,2025-06-18T09:00:00,2025-06-18T09:50:00,2025-06-18T10:40:00,,"{'KYC': 43, 'CreditCheck': 42, 'FinalApproval': 20}",False
APP-0019,2025-06-19T09:00:00,2025-06-19T09:40:00,2025-06-19T10:12:00,,"{'KYC': 25, 'CreditCheck': 55, 'FinalApproval': 27}",False
APP-0020,2025-06-20T09:00:00,2025-06-20T09:24:00,2025-06-20T10:01:00,,"{'KYC': 30, 'CreditCheck': 15, 'FinalApproval': 87}",False
APP-0021,2025-06-21T09:00:00,2025-06-21T09:59:00,2025-06-21T10:30:00,,"{'KYC': 80, 'CreditCheck': 71, 'FinalApproval': 54}",True
APP-0022,2025-06-22T09:00:00,2025-06-22T09:20:00,,2025-06-22T09:58:00,"{'KYC': 52, 'CreditCheck': 29, 'FinalApproval': 35}",True
APP-0023,2025-06-23T09:00:00,2025-06-23T09:33:00,,2025-06-23T10:20:00,"{'KYC': 89, 'CreditCheck': 33, 'FinalApproval': 13}",False
APP-0024,2025-06-24T09:00:00,2025-06-24T09:13:00,2025-06-24T10:06:00,,"{'KYC': 63, 'CreditCheck': 45, 'FinalApproval': 87}",False
APP-0025,2025-06-25T09:00:00,2025-06-25T09:12:00,2025-06-25T09:40:00,,"{'KYC': 13, 'CreditCheck': 51, 'FinalApproval': 40}",False
APP-0026,2025-06-26T09:00:00,2025-06-26T09:36:00,,2025-06-26T10:36:00,"{'KYC': 87, 'CreditCheck': 54, 'FinalApproval': 54}",True
