application_id,submitted_time,reviewed_time,approved_time,rejected_time,processing_steps,flagged_for_fraud,monthly_income,monthly_costs,requested_amount,monthly_debt
APP-0001,2025-06-01T09:00:00,2025-06-01T09:56:00,,2025-06-01T10:23:00,"{'KYC': 86, 'CreditCheck': 21, 'FinalApproval': 27}",False,4897,2094,23371,550
APP-0002,2025-06-02T09:00:00,2025-06-02T09:59:00,,2025-06-02T10:38:00,"{'KYC': 49, 'CreditCheck': 32, 'FinalApproval': 10}",False,6310,3665,57897,1046
APP-0003,2025-06-03T09:00:00,2025-06-03T09:53:00,2025-06-03T10:43:00,,"{'KYC': 28, 'CreditCheck': 13, 'FinalApproval': 75}",False,6640,1440,27989,1377
APP-0004,2025-06-04T09:00:00,2025-06-04T09:38:00,,2025-06-04T10:13:00,"{'KYC': 73, 'CreditCheck': 63, 'FinalApproval': 21}",False,8492,1713,52029,218
APP-0005,2025-06-05T09:00:00,2025-06-05T09:20:00,2025-06-05T09:48:00,,"{'KYC': 24, 'CreditCheck': 46, 'FinalApproval': 84}",False,3641,3016,53156,1091
APP-0006,2025-06-06T09:00:00,2025-06-06T09:23:00,,2025-06-06T09:49:00,"{'KYC': 32, 'CreditCheck': 18, 'FinalApproval': 33}",True,5012,3599,41532,673
APP-0007,2025-06-07T09:00:00,2025-06-07T09:36:00,2025-06-07T10:27:00,,"{'KYC': 17, 'CreditCheck': 64, 'FinalApproval': 57}",False,3063,3169,49732,719
APP-0008,2025-06-08T09:00:00,2025-06-08T09:52:00,,2025-06-08T10:37:00,"{'KYC': 33, 'CreditCheck': 67, 'FinalApproval': 66}",False,5197,1606,35779,1176
APP-0009,2025-06-09T09:00:00,2025-06-09T09:31:00,,2025-06-09T10:02:00,"{'KYC': 17, 'CreditCheck': 35, 'FinalApproval': 58}",True,8573,3820,56584,495
APP-0010,2025-06-10T09:00:00,2025-06-10T09:58:00,,2025-06-10T10:28:00,"{'KYC': 15, 'CreditCheck': 21, 'FinalApproval': 62}",False,3028,3913,33718,624
APP-0011,2025-06-11T09:00:00,2025-06-11T09:42:00,2025-06-11T10:04:00,,"{'KYC': 10, 'CreditCheck': 71, 'FinalApproval': 45}",True,6663,2878,9398,1349
APP-0012,2025-06-12T09:00:00,2025-06-12T09:16:00,2025-06-12T09:39:00,,"{'KYC': 78, 'CreditCheck': 48, 'FinalApproval': 49}",False,2903,3491,10204,1344
APP-0013,2025-06-13T09:00:00,2025-06-13T09:33:00,2025-06-13T10:04:00,,"{'KYC': 12, 'CreditCheck': 15, 'FinalApproval': 37}",False,5017,2795,46597,926
APP-0014,2025-06-14T09:00:00,2025-06-14T09:58:00,,2025-06-14T10:57:00,"{'KYC': 79, 'CreditCheck': 11, 'FinalApproval': 81}",False,3342,4390,15659,132
APP-0015,2025-06-15T09:00:00,2025-06-15T09:46:00,2025-06-15T10:27:00,,"{'KYC': 55, 'CreditCheck': 19, 'FinalApproval': 39}",False,8758,2186,42273,218
APP-0016,2025-06-16T09:00:00,2025-06-16T09:48:00,,2025-06-16T10:08:00,"{'KYC': 65, 'CreditCheck': 43, 'FinalApproval': 37}",False,4824,3161,55624,540
APP-0017,2025-06-17T09:00:00,2025-06-17T09:24:00,2025-06-17T10:06:00,,"{'KYC': 71, 'CreditCheck': 44, 'FinalApproval': 50}",False,8465,2337,43879,730
APP-0018,2025-06-18T09:00:00,2025-06-18T09:50:00,2025-06-18T10:40:00,,"{'KYC': 43, 'CreditCheck': 42, 'FinalApproval': 20}",False,8251,3379,44967,963
APP-0019,2025-06-19T09:00:00,2025-06-19T09:40:00,2025-06-19T10:12:00,,"{'KYC': 25, 'CreditCheck': 55, 'FinalApproval': 27}",False,2642,3447,52353,1336
APP-0020,2025-06-20T09:00:00,2025-06-20T09:24:00,2025-06-20T10:01:00,,"{'KYC': 30, 'CreditCheck': 15, 'FinalApproval': 87}",False,6844,4279,25340,1041
APP-0021,2025-06-21T09:00:00,2025-06-21T09:59:00,2025-06-21T10:30:00,,"{'KYC': 80, 'CreditCheck': 71, 'FinalApproval': 54}",True,3042,1635,58939,544
APP-0022,2025-06-22T09:00:00,2025-06-22T09:20:00,,2025-06-22T09:58:00,"{'KYC': 52, 'CreditCheck': 29, 'FinalApproval': 35}",True,4423,2553,53420,447
APP-0023,2025-06-23T09:00:00,2025-06-23T09:33:00,,2025-06-23T10:20:00,"{'KYC': 89, 'CreditCheck': 33, 'FinalApproval': 13}",False,7566,1311,49338,1402
APP-0024,2025-06-24T09:00:00,2025-06-24T09:13:00,2025-06-24T10:06:00,,"{'KYC': 63, 'CreditCheck': 45, 'FinalApproval': 87}",False,7320,1370,21449,840
APP-0025,2025-06-25T09:00:00,2025-06-25T09:12:00,2025-06-25T09:40:00,,"{'KYC': 13, 'CreditCheck': 51, 'FinalApproval': 40}",False,4588,2890,46132,499
APP-0026,2025-06-26T09:00:00,2025-06-26T09:36:00,,2025-06-26T10:36:00,"{'KYC': 87, 'CreditCheck': 54, 'FinalApproval': 54}",True,4789,2496,55470,1044
APP-0027,2025-06-27T09:00:00,2025-06-27T09:34:00,,2025-06-27T09:59:00,"{'KYC': 23, 'CreditCheck': 68, 'FinalApproval': 25}",False,6931,3846,51351,1019
APP-0028,2025-06-28T09:00:00,2025-06-28T09:14:00,,2025-06-28T10:06:00,"{'KYC': 47, 'CreditCheck': 46, 'FinalApproval': 58}",True,3393,4313,36271,812
APP-0029,2025-06-29T09:00:00,2025-06-29T09:51:00,2025-06-29T10:24:00,,"{'KYC': 53, 'CreditCheck': 33, 'FinalApproval': 78}",True,3163,1694,37679,144
APP-0030,2025-06-30T09:00:00,2025-06-30T09:12:00,,2025-06-30T09:58:00,"{'KYC': 87, 'CreditCheck': 12, 'FinalApproval': 50}",False,2722,2599,14298,422
APP-0031,2025-07-01T09:00:00,2025-07-01T09:22:00,,2025-07-01T09:48:00,"{'KYC': 78, 'CreditCheck': 56, 'FinalApproval': 27}",False,4701,3997,23950,243
APP-0032,2025-07-02T09:00:00,2025-07-02T09:31:00,,2025-07-02T10:02:00,"{'KYC': 10, 'CreditCheck': 84, 'FinalApproval': 75}",False,3603,4225,35291,245
APP-0033,2025-07-03T09:00:00,2025-07-03T09:48:00,2025-07-03T10:14:00,,"{'KYC': 47, 'CreditCheck': 69, 'FinalApproval': 33}",True,3340,1302,38263,1456
APP-0034,2025-07-04T09:00:00,2025-07-04T09:24:00,,2025-07-04T10:00:00,"{'KYC': 34, 'CreditCheck': 21, 'FinalApproval': 54}",False,7851,3049,23239,1272
APP-0035,2025-07-05T09:00:00,2025-07-05T09:14:00,,2025-07-05T10:04:00,"{'KYC': 54, 'CreditCheck': 71, 'FinalApproval': 80}",False,3096,1583,41754,1257
APP-0036,2025-07-06T09:00:00,2025-07-06T09:23:00,2025-07-06T09:50:00,,"{'KYC': 79, 'CreditCheck': 47, 'FinalApproval': 67}",True,7045,2869,20658,625
APP-0037,2025-07-07T09:00:00,2025-07-07T09:29:00,2025-07-07T10:16:00,,"{'KYC': 76, 'CreditCheck': 11, 'FinalApproval': 82}",False,7982,2625,8334,1200
APP-0038,2025-07-08T09:00:00,2025-07-08T09:47:00,,2025-07-08T10:34:00,"{'KYC': 75, 'CreditCheck': 46, 'FinalApproval': 64}",True,7982,3882,57954,404
APP-0039,2025-07-09T09:00:00,2025-07-09T09:34:00,2025-07-09T10:32:00,,"{'KYC': 62, 'CreditCheck': 35, 'FinalApproval': 77}",True,5263,3614,41193,1035
APP-0040,2025-07-10T09:00:00,2025-07-10T09:38:00,2025-07-10T10:38:00,,"{'KYC': 42, 'CreditCheck': 86, 'FinalApproval': 83}",True,6588,1871,10775,1243
APP-0041,2025-07-11T09:00:00,2025-07-11T09:28:00,2025-07-11T10:14:00,,"{'KYC': 13, 'CreditCheck': 54, 'FinalApproval': 73}",False,6776,2507,31396,907
APP-0042,2025-07-12T09:00:00,2025-07-12T09:35:00,2025-07-12T10:18:00,,"{'KYC': 65, 'CreditCheck': 40, 'FinalApproval': 12}",False,7328,2728,55091,1321
APP-0043,2025-07-13T09:00:00,2025-07-13T09:44:00,,2025-07-13T10:34:00,"{'KYC': 43, 'CreditCheck': 43, 'FinalApproval': 40}",False,5308,3757,40142,290
APP-0044,2025-07-14T09:00:00,2025-07-14T09:50:00,2025-07-14T10:35:00,,"{'KYC': 36, 'CreditCheck': 54, 'FinalApproval': 60}",True,5611,3888,15887,1200
APP-0045,2025-07-15T09:00:00,2025-07-15T09:21:00,,2025-07-15T10:11:00,"{'KYC': 20, 'CreditCheck': 36, 'FinalApproval': 73}",True,6482,2404,37938,735
APP-0046,2025-07-16T09:00:00,2025-07-16T09:59:00,,2025-07-16T10:19:00,"{'KYC': 90, 'CreditCheck': 16, 'FinalApproval': 38}",False,6557,2064,52153,1031
APP-0047,2025-07-17T09:00:00,2025-07-17T09:46:00,2025-07-17T10:30:00,,"{'KYC': 16, 'CreditCheck': 41, 'FinalApproval': 23}",False,7229,3146,51195,1281
APP-0048,2025-07-18T09:00:00,2025-07-18T09:34:00,2025-07-18T09:59:00,,"{'KYC': 52, 'CreditCheck': 78, 'FinalApproval': 23}",False,4682,3765,6411,127
APP-0049,2025-07-19T09:00:00,2025-07-19T09:17:00,,2025-07-19T09:38:00,"{'KYC': 36, 'CreditCheck': 76, 'FinalApproval': 25}",False,3714,4178,37400,374
APP-0050,2025-07-20T09:00:00,2025-07-20T09:14:00,,2025-07-20T10:09:00,"{'KYC': 51, 'CreditCheck': 90, 'FinalApproval': 14}",True,6968,3345,5224,731
APP-0051,2025-07-21T09:00:00,2025-07-21T09:54:00,,2025-07-21T10:21:00,"{'KYC': 67, 'CreditCheck': 29, 'FinalApproval': 38}",False,3855,2119,49893,1356
APP-0052,2025-07-22T09:00:00,2025-07-22T09:17:00,2025-07-22T09:53:00,,"{'KYC': 68, 'CreditCheck': 87, 'FinalApproval': 75}",True,2522,2931,47701,1345
APP-0053,2025-07-23T09:00:00,2025-07-23T09:23:00,2025-07-23T09:53:00,,"{'KYC': 34, 'CreditCheck': 38, 'FinalApproval': 80}",False,4999,2460,44504,754
APP-0054,2025-07-24T09:00:00,2025-07-24T09:14:00,2025-07-24T09:55:00,,"{'KYC': 90, 'CreditCheck': 73, 'FinalApproval': 70}",False,8102,3245,50624,698
APP-0055,2025-07-25T09:00:00,2025-07-25T09:46:00,2025-07-25T10:14:00,,"{'KYC': 77, 'CreditCheck': 16, 'FinalApproval': 26}",False,8285,2359,56136,726
APP-0056,2025-07-26T09:00:00,2025-07-26T09:30:00,,2025-07-26T09:59:00,"{'KYC': 46, 'CreditCheck': 58, 'FinalApproval': 37}",False,5370,3079,52335,704
